,Date,AAPL.O,GLD,GM,IVV,SHY.O,SP500
0,2017/9/27,0.007092459,-0.009464823,0.007916914,0.003900658,-0.000118392,0.004076842
1,2017/9/28,-0.006178681,0.00188378,0,0.001072003,0.000118392,0.001203883
2,2017/9/29,0.005465206,-0.005168394,-0.004940722,0.003683683,-0.000236798,0.003698244
3,2017/10/2,-0.002013445,-0.006684572,0.042900072,0.004103379,0.000740531,0.003866515
4,2017/10/3,0.004346564,0.000496689,0.030376167,0.002359697,-0.000592312,0.002156527
5,2017/10/4,-0.006494373,0.002809919,0.00756624,0.001295464,0.001894164,0.001245978
6,2017/10/5,0.01236782,-0.005378804,0.001597627,0.005789408,-0.002131187,0.005630873
7,2017/10/6,-0.000579356,0.004718357,0.024331004,-0.001053679,-0.00035564,-0.001074215
8,2017/10/9,0.00347111,0.008142497,0.008863342,-0.001680377,0,-0.001806026
9,2017/10/10,0.000384936,0.002617803,-0.002650764,0.002578026,0.000237107,0.002319754
10,2017/10/11,0.004160672,0.003181209,0.005734467,0.001442355,-0.000118547,0.001801845
11,2017/10/12,-0.003519441,0.000814067,-0.012837715,-0.001442355,-0.000118561,-0.001688154
12,2017/10/13,0.006326102,0.007539252,0.021814239,0.001130671,0.000592663,0.000877726
13,2017/10/16,0.018241425,-0.006888475,-0.002618945,0.00163526,-0.000948429,0.001749234
14,2017/10/17,0.003683475,-0.006854372,-0.016303512,0.000622253,0.000118603,0.000672269
15,2017/10/18,-0.00443432,-0.003773589,0.002218772,0.000854967,-0.000355851,0.000742098
16,2017/10/19,-0.023944895,0.005900206,0.005084569,0.00038838,0.000593014,0.00032791
17,2017/10/20,0.001729495,-0.006393464,0.005716814,0.005112525,-0.000593014,0.005103849
18,2017/10/23,-0.000512131,0.001561152,-0.010136711,-0.003831941,0,-0.003980403
19,2017/10/24,0.005937388,-0.003866249,0.029031833,0.001511306,-0.000237304,0.001616639
20,2017/10/25,-0.004401781,0.000164826,-0.029696505,-0.004696393,-0.000237361,-0.004673963
21,2017/10/26,0.006373102,-0.008440964,0.002877063,0.001205311,0,0.001270139
22,2017/10/27,0.035203036,0.004725789,-0.013572352,0.007972796,0.000711913,0.008040545
23,2017/10/30,0.022258856,0.001900591,-0.02886236,-0.003436761,0.000474327,-0.003197581
24,2017/10/31,0.013819615,-0.003804802,-0.009033067,0.001121141,-0.000592944,0.00094404
25,2017/11/1,-0.012800461,0.003639676,0.003483919,0.001621497,-0.000137198,0.001590806
26,2017/11/2,0.007283614,0.000660338,-0.012364557,0.000539915,0.000237473,0.000189952
27,2017/11/3,0.025778709,-0.004714454,-0.006121988,0.003118085,-0.000593789,0.003092293
28,2017/11/6,0.010093813,0.008502961,-0.004734857,0.001689709,0.000593789,0.001270523
29,2017/11/7,0.00320862,-0.003623491,-0.01049628,-0.000498935,-0.000475003,-0.000189125
30,2017/11/8,0.008147033,0.003459071,0.009784113,0.001726023,-0.000118786,0.001442618
31,2017/11/9,-0.002044758,0.004102402,0,-0.003647327,-0.0001188,-0.003769072
32,2017/11/10,-0.003303152,-0.008221702,0.012976471,-0.000692574,-0.000356485,-0.000898021
33,2017/11/13,-0.004015609,0.001484904,0.021107127,0.001115578,-0.000118857,0.000983136
34,2017/11/14,-0.015232984,0.002058715,-0.013168724,-0.002001232,0.000237699,-0.002312292
35,2017/11/15,-0.013277911,-0.00123472,-0.003261126,-0.005407924,-0.00035657,-0.005540999
36,2017/11/16,0.011876205,-8.24E-05,0.01711816,0.008331453,0.000118871,0.00816274
37,2017/11/17,-0.00556778,0.011954617,0.006401485,-0.002730928,-0.000594495,-0.002629496
38,2017/11/20,-0.000999618,-0.012696243,0.022533626,0.001577925,-0.000356867,0.001274949
39,2017/11/21,0.018419733,0.001647311,0.00200334,0.006477973,-0.000237982,0.006519786
40,2017/11/22,0.010456861,0.009175128,-0.015236683,-0.000726203,0.000832689,-0.000750562
41,2017/11/24,5.72E-05,-0.00253113,0.003830991,0.002100721,0,0.002054044
42,2017/11/27,-0.005042124,0.004160724,-0.006544083,-0.000305285,0,-0.000384332
43,2017/11/28,-0.00587627,-0.00016284,0.016837304,0.010025527,0.000118899,0.009800287
